type,item,name,count,point,,,
A,A,01,5,50,,,
A,A,02,5,50,,,
A,A,03,5,50,,,
A,A,04,5,50,,,
A,A,05,5,50,,,
A,A,06,5,50,,,
A,A,07,5,50,,,
A,A,08,5,50,,,
A,A,09,5,50,,,
A,A,10,5,50,,,
A,A,11,5,50,,,
A,A,12,5,50,,,
A,A,13,5,50,,,
A,A,14,5,50,,,
A,A,15,5,50,,,
A,A,16,5,50,,,
A,A,17,5,50,,,
A,A,18,5,50,,,
A,A,19,5,50,,,
A,A,20,5,50,,,
A,A,21,5,50,,,
A,A,22,5,50,,,
A,A,23,5,50,,,
A,A,24,5,50,,,
A,A,25,5,50,,,
A,A,26,5,50,,,
A,A,27,5,50,,,
A,A,28,5,50,,,
A,A,29,5,50,,,
A,A,30,5,50,,,
A,A,31,5,50,,,
A,A,32,5,50,,,
A,A,33,5,50,,,
A,A,34,5,50,,,
A,A,35,5,50,,,
A,A,36,5,50,,,
A,A,37,5,50,,,
A,A,38,5,50,,,
A,A,39,5,50,,,
A,A,40,5,50,,,
A,A,41,5,50,,,
A,A,42,5,50,,,
A,A,43,5,50,,,
A,A,44,5,50,,,
A,A,45,5,50,,,
A,A,46,5,50,,,
A,A,47,5,50,,,
A,A,48,5,50,,,
A,A,49,5,50,,,
A,A,50,5,50,,,
A,A,51,5,50,,,
A,A,52,5,50,,,
A,A,53,5,50,,,
A,A,54,5,50,,,
A,A,55,5,50,,,
A,A,56,5,50,,,
A,A,57,5,50,,,
A,A,58,5,50,,,
A,A,59,5,50,,,
A,A,60,5,50,,,
A,A,61,5,50,,,
A,A,62,5,50,,,
A,A,63,5,50,,,
A,A,64,5,50,,,
A,A,65,5,50,,,
A,A,66,5,50,,,
A,A,67,5,50,,,
A,A,68,5,50,,,
A,A,69,5,50,,,
A,A,70,5,50,,,
A,A,71,5,50,,,
A,A,72,5,50,,,
A,A,73,5,50,,,
A,A,74,5,50,,,
A,A,75,5,50,,,
A,A,76,5,50,,,
A,A,77,5,50,,,
A,A,78,5,50,,,
A,A,79,5,50,,,
B,B,01,5,50,,,
B,B,02,5,50,,,
B,B,03,15,450,,,
B,B,04,15,450,,,
B,B,05,5,50,,,
B,B,06,5,50,,,
B,B,07,5,50,,,
B,B,08,5,50,,,
B,C,01,5,50,,,
B,C,02,5,50,,,
B,C,03,5,50,,,
B,C,04,5,50,,,
B,C,05,5,50,,,
B,C,06,5,50,,,
B,C,07,15,450,,,
B,C,08,15,450,,,
B,C,09,5,50,,,
B,C,10,15,450,,,
B,C,11,5,50,,,
B,C,12,5,50,,,
B,C,13,5,50,,,
B,C,14,5,50,,,
B,C,15,5,50,,,
B,C,16,5,50,,,
B,C,17,5,50,,,
B,C,18,5,50,,,
B,C,19,5,50,,,
B,C,20,5,50,,,
B,C,21,5,50,,,
B,D,01,5,100,,,
B,D,02,5,100,,,
B,D,03,5,100,,,
C,E,01,5,50,,,
C,E,02,5,50,,,
C,E,03,5,50,,,
C,E,04,5,50,,,
C,E,05,5,50,,,
C,E,06,5,50,,,
C,E,07,5,50,,,
C,E,08,5,50,,,
C,E,09,5,50,,,
C,E,10,5,50,,,
C,E,11,5,50,,,
C,E,12,5,50,,,
C,E,13,5,50,,,
C,E,14,5,50,,,
C,E,15,5,50,,,
C,E,16,5,50,,,
C,E,17,5,50,,,
C,E,18,5,50,,,
C,E,19,5,50,,,
C,E,20,5,50,,,
C,E,21,5,50,,,
C,E,22,5,50,,,
C,E,23,5,50,,,
C,E,24,5,50,,,
C,E,25,5,50,,,
C,E,26,5,50,,,
C,E,27,5,50,,,
